{'w': '2', 'numGen': '1000', 'K': '4', 'mutRate': '0.95', 'popSize': '100', 'N': '10', 'seedSolution': '11001111000000000000'}
Initial fitness: 0.0
2
Processing Geneeration 3, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 41, max fit: 0.0, max genome: 0b10000000010001111001000001000
Processing Geneeration 42, max fit: 0.0, max genome: 0b100000100000000000011001111000000010000
Processing Geneeration 43, max fit: 0.0, max genome: 0b10001111000000000000
Processing Geneeration 44, max fit: 0.0, max genome: 0b100000000111011111000000100000
Processing Geneeration 45, max fit: 0.0, max genome: 0b100000000000000000011001111000000010000
Processing Geneeration 46, max fit: 2.82842712475, max genome: 0b1100010000000000000011001111000000010000
Processing Geneeration 47, max fit: 2.82842712475, max genome: 0b1100010000000000000011001111000000010000
Processing Geneeration 48, max fit: 2.82842712475, max genome: 0b1100010000000000000011001111000000010000
Processing Geneeration 49, max fit: 2.82842712475, max genome: 0b1100010000000000000011001111000000010000
Processing Geneeration 50, max fit: 2.82842712475, max genome: 0b1100010000000000000011001111000000010000
Processing Geneeration 51, max fit: 2.82842712475, max genome: 0b1100010000000000000011001111000000010000
Processing Geneeration 52, max fit: 2.82842712475, max genome: 0b1100010000000000000011001111000000010000
Processing Geneeration 53, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 54, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 55, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 56, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 57, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 58, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 59, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 60, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 61, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 62, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 63, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 64, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 65, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 66, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111010000010000
Processing Geneeration 67, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 68, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 69, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000100010000
Processing Geneeration 70, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 71, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010100
Processing Geneeration 72, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 73, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111010000010000
Processing Geneeration 74, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111010000010000
Processing Geneeration 75, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010100
Processing Geneeration 76, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 77, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 78, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000000000
Processing Geneeration 79, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000100010100
Processing Geneeration 80, max fit: 3.56359487256, max genome: 0b1100110000000001000011001111000100010000
Processing Geneeration 81, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111001000010001
Processing Geneeration 82, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010100
Processing Geneeration 83, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000100010000
Processing Geneeration 84, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010001
Processing Geneeration 85, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111010000010000
Processing Geneeration 86, max fit: 3.56359487256, max genome: 0b1100110001000000000011001111000000010100
Processing Geneeration 87, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111010000010000
Processing Geneeration 88, max fit: 3.56359487256, max genome: 0b1100110000100000000011001111000100010000
Processing Geneeration 89, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010000
Processing Geneeration 90, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010100
Processing Geneeration 91, max fit: 3.56359487256, max genome: 0b1100110010000000000011001111000000010000
Processing Geneeration 92, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010001
Processing Geneeration 93, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111001100010000
Processing Geneeration 94, max fit: 3.56359487256, max genome: 0b1100110000000100000011001111000000010100
Processing Geneeration 95, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000010000000
Processing Geneeration 96, max fit: 3.56359487256, max genome: 0b1100110000000000001011001111010000010000
Processing Geneeration 97, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000000010100
Processing Geneeration 98, max fit: 3.56359487256, max genome: 0b1100110000000000000011001111000010000000
Processing Geneeration 99, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 100, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 101, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 102, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 103, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 104, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 105, max fit: 4.23785237744, max genome: 0b1100110000001100001011001111000000010100
Processing Geneeration 106, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 107, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 108, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 109, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 110, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 111, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 112, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 113, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 114, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 115, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 116, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 117, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 118, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 119, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000100010100
Processing Geneeration 120, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 121, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 122, max fit: 4.23785237744, max genome: 0b1100110000001100000111001111000000010100
Processing Geneeration 123, max fit: 4.23785237744, max genome: 0b1100110001001100000011001111000000010100
Processing Geneeration 124, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 125, max fit: 4.23785237744, max genome: 0b1100110000001100000111001111000000010100
Processing Geneeration 126, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 127, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000100010100
Processing Geneeration 128, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 129, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000011100
Processing Geneeration 130, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000100010100
Processing Geneeration 131, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 132, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 133, max fit: 4.23785237744, max genome: 0b1100110000001100000111001111000000010100
Processing Geneeration 134, max fit: 4.23785237744, max genome: 0b1100110000001100000111001111000000010100
Processing Geneeration 135, max fit: 4.23785237744, max genome: 0b1100110000001100000111001111100000010110
Processing Geneeration 136, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 137, max fit: 4.23785237744, max genome: 0b1100110000001100000111001111000000010100
Processing Geneeration 138, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111010000010100
Processing Geneeration 139, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000100010100
Processing Geneeration 140, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 141, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 142, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 143, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 144, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 145, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111000000010100
Processing Geneeration 146, max fit: 4.23785237744, max genome: 0b1100110000001100000011001111010000010000
Processing Geneeration 147, max fit: 4.23785237744, max genome: 0b1100110010001100010011001111000100010100
Processing Geneeration 148, max fit: 4.86801405468, max genome: 0b1100110011001100010011001111000100010100
Processing Geneeration 149, max fit: 4.86801405468, max genome: 0b1100110011001100010011001111000100010100
Processing Geneeration 150, max fit: 4.86801405468, max genome: 0b1100110011001100010011001111000100010100
Processing Geneeration 151, max fit: 4.86801405468, max genome: 0b1100110011001100010011001111000100010100
Processing Geneeration 152, max fit: 4.86801405468, max genome: 0b1100110011001100010011001111000100010100
Processing Geneeration 153, max fit: 4.86801405468, max genome: 0b1100110011001100010011001111000100010100
Processing Geneeration 154, max fit: 4.86801405468, max genome: 0b1100110011001100010011001111000100010100
Processing Geneeration 155, max fit: 4.86801405468, max genome: 0b1100110011001100010011001111000100010100
Processing Geneeration 156, max fit: 4.86801405468, max genome: 0b1100110011001100010011001111000100010100
Processing Geneeration 157, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 158, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 159, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 160, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 161, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 162, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 163, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 164, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 165, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 166, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 167, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 168, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 169, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 170, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010100
Processing Geneeration 171, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 172, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010100
Processing Geneeration 173, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 174, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 175, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 176, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 177, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010101
Processing Geneeration 178, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010100
Processing Geneeration 179, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 180, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 181, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 182, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 183, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010100
Processing Geneeration 184, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 185, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010100
Processing Geneeration 186, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 187, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 188, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010100
Processing Geneeration 189, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 190, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 191, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 192, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 193, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 194, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010100
Processing Geneeration 195, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010110
Processing Geneeration 196, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 197, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 198, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 199, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 200, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 201, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 202, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 203, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 204, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 205, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 206, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 207, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 208, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 209, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 210, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 211, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 212, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 213, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 214, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001110010100
Processing Geneeration 215, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 216, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 217, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 218, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 219, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 220, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 221, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 222, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 223, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 224, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 225, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100010100
Processing Geneeration 226, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 227, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100010100
Processing Geneeration 228, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 229, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 230, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 231, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 232, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 233, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 234, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 235, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 236, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100010100
Processing Geneeration 237, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100110100
Processing Geneeration 238, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100010100
Processing Geneeration 239, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100010100
Processing Geneeration 240, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 241, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100010100
Processing Geneeration 242, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 243, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 244, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 245, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 246, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 247, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 248, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100110100
Processing Geneeration 249, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 250, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 251, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100010100
Processing Geneeration 252, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110010100
Processing Geneeration 253, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110010100
Processing Geneeration 254, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100110100
Processing Geneeration 255, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 256, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100110100
Processing Geneeration 257, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 258, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100010100
Processing Geneeration 259, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 260, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 261, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110010100
Processing Geneeration 262, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 263, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100010100
Processing Geneeration 264, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100010100
Processing Geneeration 265, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 266, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 267, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 268, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 269, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 270, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 271, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100010100
Processing Geneeration 272, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 273, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101010010
Processing Geneeration 274, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 275, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 276, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 277, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 278, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 279, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 280, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 281, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000100
Processing Geneeration 282, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 283, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100010100
Processing Geneeration 284, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 285, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 286, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 287, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 288, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111101100010100
Processing Geneeration 289, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111101101010100
Processing Geneeration 290, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 291, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 292, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 293, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 294, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 295, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 296, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 297, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 298, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 299, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 300, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 301, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
Processing Geneeration 302, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 303, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 304, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 305, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 306, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 307, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 308, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 309, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 310, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 311, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 312, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100011100
Processing Geneeration 313, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 314, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 315, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010100
